# VCP -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 408 headwords that LOOK like misspellings but which VCP records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS VCP.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the VCP entry text

# ===== VARIA-LECTIO (2) =====
vfhaccaYcu     -> bfhaccaYcu     | {{Lbody=35705}} || vfhaccaYcu pu0 vfhato caYcuriva maYjarI yasya . mahAcaYcuSAke rAjani0 .  (redirect -> bfhaccaYcu)
vfhaccitra     -> bfhaccitra     | {{Lbody=35706}}  (redirect -> bfhaccitra)
vfhadBaya      -> bfhadBaya      | {{Lbody=35766}}  (redirect -> bfhadBaya)
vfhadDana      -> bfhadDana      | {{Lbody=35762}}  (redirect -> bfhadDana)
vfhadDanus     -> bfhadDanus     | {{Lbody=35759}}  (redirect -> bfhadDanus)
vfhadaSva      -> bfhadaSva      | {{Lbody=35745}}  (redirect -> bfhadaSva)
vfhadagni      -> bfhadagni      | {{Lbody=35741}}  (redirect -> bfhadagni)
vfhadambAlikA  -> bfhadambAlikA  | {{Lbody=35743}}  (redirect -> bfhadambAlikA)
vfhadbrahman   -> bfhadbrahman   | {{Lbody=35764}}  (redirect -> bfhadbrahman)
vfhaddarBa     -> bfhaddarBa     | {{Lbody=35756}}  (redirect -> bfhaddarBa)
vfhaddyumna    -> bfhaddyumna    | {{Lbody=35758}}  (redirect -> bfhaddyumna)
vfhadelA       -> bfhadelA       | {{Lbody=35751}} || vfhadelA strI karma0 . sTUlElAyAm rAjani0 .  (redirect -> bfhadelA)
vfhadgarBa     -> bfhadgarBa     | {{Lbody=35752}}  (redirect -> bfhadgarBa)
vfhadgu        -> bfhadgu        | {{Lbody=35753}}  (redirect -> bfhadgu)
vfhadrAja      -> bfhadrAja      | {{Lbody=35771}}  (redirect -> bfhadrAja)
vfhadrAvin     -> bfhadrAvin     | {{Lbody=35772}} || vfhadrAvin pu0 vfhat rOti--ru--Rini . kzudrolUke rAjani0 .  (redirect -> bfhadrAvin)
vfhadrUpa      -> bfhadrUpa      | {{Lbody=35773}}  (redirect -> bfhadrUpa)
vfhadraRa      -> bfhadraRa      | {{Lbody=35768}}  (redirect -> bfhadraRa)
vfhadraTantara -> bfhadraTantara | {{Lbody=35770}}  (redirect -> bfhadraTantara)
vfhadukTa      -> bfhadukTa      | {{Lbody=35748}}  (redirect -> bfhadukTa)
vfhadukza      -> bfhadukza      | {{Lbody=35749}}  (redirect -> bfhadukza)
vfhaduttaratApanI -> bfhaduttaratApanI | {{Lbody=35750}}  (redirect -> bfhaduttaratApanI)
vfhadvAruRI    -> bfhadvAruRI    | {{Lbody=35777}} || vfhadvAruRI strI karma0 . mahendravAruRyAm rAjAna0 .  (redirect -> bfhadvAruRI)
vfhadvalka     -> bfhadvalka     | {{Lbody=35775}} || vfhadvalka pu0 vfhat valkamasya . pawwikAloDre rAjavallaBaH .  (redirect -> bfhadvalka)
vfhadvat       -> bfhadvat       | {{Lbody=35774}}  (redirect -> bfhadvat)
vfhajjAbAla    -> bfhajjAbAla    | {{Lbody=35710}}  (redirect -> bfhajjAbAla)
vfhajjAtaka    -> bfhajjAtaka    | {{Lbody=35709}}  (redirect -> bfhajjAtaka)
vfhajjIvantI   -> bfhajjIvantI   | {{Lbody=35711}}  (redirect -> bfhajjIvantI)
vfhaka         -> bfhaka         | {{Lbody=35704}}  (redirect -> bfhaka)
vfhaqQakkA     -> bfhaqQakkA     | {{Lbody=35712}}  (redirect -> bfhaqQakkA)
vfhaspatistoma -> bfhaspatistoma | {{Lbody=35788}}  (redirect -> bfhaspatistoma)
vfhatPala      -> bfhatPala      | {{Lbody=35737}}  (redirect -> bfhatPala)
vfhatkAsa      -> vfhatkASa      | {{Lbody=35721}}  (redirect -> bfhatkAsa)
vfhatkaTA      -> bfhatkaTA      | {{Lbody=35716}}  (redirect -> bfhatkaTA)
vfhatketu      -> bfhatketu      | {{Lbody=35724}}  (redirect -> bfhatketu)
vfhatkzatra    -> bfhatkzatra    | {{Lbody=35725}}  (redirect -> bfhatkzatra)
vfhatpAlin     -> bfhatpAlin     | {{Lbody=35734}} || vfhatpAlin pu0 vfhataH pAlayati pAla--Rini . vana- jIrake rAjani0 .  (redirect -> bfhatpAlin)
vfhatpArevata  -> bfhatpArevata  | {{Lbody=35733}}  (redirect -> bfhatpArevata)
vfhatpIlu      -> bfhatpIlu      | {{Lbody=35735}} || vfhatpIlu pu0 karma0 . mahApIlO rAjani0 .  (redirect -> bfhatpIlu)
vfhatpuzpI     -> bfhatpuzpI     | {{Lbody=35736}}  (redirect -> bfhatpuzpI)
vfhatsaMhitA   -> bfhatsaMhitA   | {{Lbody=35738}}  (redirect -> bfhatsaMhitA)
vfhatsena      -> bfhatsena      | {{Lbody=35740}}  (redirect -> bfhatsena)
vfhattAla      -> bfhattAla      | {{Lbody=35726}} || vfhattAla pu0 karma0 . hintAle rAjani0 .  (redirect -> bfhattAla)
vfhattiktA     -> bfhattiktA     | {{Lbody=35727}} || vfhattiktA strI karma0 . pAWAyAm (AkanAdi) rAjani0 .  (redirect -> bfhattiktA)
vikaSita       -> vikasita       | {{Lbody=41313}}  (redirect -> vikasita)
vimbI          -> bimbI          | {{Lbody=41702}}  (redirect -> vimbA)
vrAhmIkanda    -> brAhmIkanda    | {{Lbody=35997}}  (redirect -> brAhmIkanda)
vrAhma         -> brAhma         | {{Lbody=35973}}  (redirect -> brAhma)
vrAhmaRAcCaMsin -> brAhmaRAcCaMsin | {{Lbody=35991}}  (redirect -> brAhmaRAcCaMsin)
vrAhmaRAyana   -> brAhmaRAyana   | {{Lbody=35993}}  (redirect -> brAhmaRAyana)
vrAhmaRa       -> brAhmaRa       | {{Lbody=35976}}  (redirect -> brAhmaRa)
vrAhmaRabruva  -> brAhmaRabruva  | {{Lbody=35985}}  (redirect -> brAhmaRabruva)
vrAhmaRacARqAla -> brAhmaRacARqAla | {{Lbody=35980}}  (redirect -> brAhmaRacARqAla)
vrAhmaRajAtIya -> brAhmaRajAtIya | {{Lbody=35981}}  (redirect -> brAhmaRajAtIya)
vrAhmaRajIvikA -> brAhmaRajIvikA | {{Lbody=35982}}  (redirect -> brAhmaRajIvikA)
vrAhmaRakAmyA  -> brAhmaRakAmyA  | {{Lbody=35978}}  (redirect -> brAhmaRakAmyA)
vrAhmaRaka     -> brAhmaRaka     | {{Lbody=35977}}  (redirect -> brAhmaRaka)
vrAhmaRalakzaRa -> brAhmaRalakzaRa | {{Lbody=35988}}  (redirect -> brAhmaRalakzaRa)
vrAhmaRapriya  -> brAhmaRapriya  | {{Lbody=35984}}  (redirect -> brAhmaRapriya)
vrAhmaRasama   -> brAhmaRasama   | {{Lbody=35990}}  (redirect -> brAhmaRasama)
vrAhmaRayajYa  -> brAhmaRayajYa  | {{Lbody=35986}}  (redirect -> brAhmaRayajYa)
vrAhmaRika     -> brAhmaRika     | {{Lbody=35994}}  (redirect -> brAhmaRika)
vrAhmaka       -> brAhmaka       | {{Lbody=35974}}  (redirect -> brAhmaka)
vrAhmya        -> brAhmya        | {{Lbody=35998}}  (redirect -> brAhmya)
vrahmABijAtA   -> brahmABijAtA   | {{Lbody=35952}}  (redirect -> brahmABijAtA)
vrahmANgaBU    -> brahmANgaBU    | {{Lbody=35946}}  (redirect -> brahmANgaBU)
vrahmARI       -> brahmARI       | {{Lbody=35948}}  (redirect -> brahmARI)
vrahmARqa      -> brahmARqa      | {{Lbody=35949}}  (redirect -> brahmARqa)
vrahmAYjali    -> brahmAYjali    | {{Lbody=35947}}  (redirect -> brahmAYjali)
vrahmAdanI     -> brahmAdanI     | {{Lbody=35951}}  (redirect -> brahmAdanI)
vrahmAhuti     -> brahmAhuti     | {{Lbody=35960}}  (redirect -> brahmAhuti)
vrahmAnanda    -> brahmAnanda    | {{Lbody=35953}}  (redirect -> brahmAnanda)
vrahmApeta     -> brahmApeta     | {{Lbody=35954}}  (redirect -> brahmApeta)
vrahmAraRya    -> brahmAraRya    | {{Lbody=35955}}  (redirect -> brahmAraRya)
vrahmArpaRa    -> brahmArpaRa    | {{Lbody=35956}}  (redirect -> brahmArpaRa)
vrahmAsana     -> brahmAsana     | {{Lbody=35958}}  (redirect -> brahmAsana)
vrahmAstra     -> brahmAstra     | {{Lbody=35959}}  (redirect -> brahmAstra)
vrahmAtmaBU    -> brahmAtmaBU    | {{Lbody=35950}}  (redirect -> brahmAtmaBU)
vrahmI         -> brahmI         | {{Lbody=35963}}  (redirect -> brahmI)
vrahmOdana     -> brahmOdana     | {{Lbody=35972}}  (redirect -> brahmOdana)
vrahmaBAga     -> brahmaBAga     | {{Lbody=35873}}  (redirect -> brahmaBAga)
vrahmaBUmijA   -> brahmaBUmijA   | {{Lbody=35875}}  (redirect -> brahmaBUmijA)
vrahmaBUti     -> brahmaBUti     | {{Lbody=35874}}  (redirect -> brahmaBUti)
vrahmaBUya     -> brahmaBUya     | {{Lbody=35876}}  (redirect -> brahmaBUya)
vrahmaBadrA    -> brahmaBadrA    | {{Lbody=35872}}  (redirect -> brahmaBadrA)
vrahmaGAtaka   -> brahmaGAtaka   | {{Lbody=35828}}  (redirect -> brahmaGAtaka)
vrahmaGna      -> brahmaGna      | {{Lbody=35830}}  (redirect -> brahmaGna)
vrahmaGoza     -> brahmaGoza     | {{Lbody=35829}}  (redirect -> brahmaGoza)
vrahmaRaspati  -> brahmaRaspati  | {{Lbody=35842}}  (redirect -> brahmaRaspati)
vrahmaRya      -> brahmaRya      | {{Lbody=35843}}  (redirect -> brahmaRya)
vrahmaSAlA     -> brahmaSAlA     | {{Lbody=35917}}  (redirect -> brahmaSAlA)
vrahmaSAsana   -> brahmaSAsana   | {{Lbody=35918}}  (redirect -> brahmaSAsana)
vrahmaSalya    -> brahmaSalya    | {{Lbody=35916}}  (redirect -> brahmaSalya)
vrahmaSiras    -> brahmaSiras    | {{Lbody=35919}}  (redirect -> brahmaSiras)
vrahmabanDu    -> brahmabanDu    | {{Lbody=35868}}  (redirect -> brahmabanDu)
vrahmabindu    -> brahmabindu    | {{Lbody=35869}}  (redirect -> brahmabindu)
vrahmabruvARa  -> brahmabruvARa  | {{Lbody=35871}}  (redirect -> brahmabruvARa)
vrahmacAriRI   -> brahmacAriRI   | {{Lbody=35834}}  (redirect -> brahmacAriRI)
vrahmacArin    -> brahmacArin    | {{Lbody=35833}}  (redirect -> brahmacArin)
vrahmacakra    -> brahmacakra    | {{Lbody=35831}}  (redirect -> brahmacakra)
vrahmadAru     -> brahmadAru     | {{Lbody=35853}}  (redirect -> brahmadAru)
vrahmadAya     -> brahmadAya     | {{Lbody=35852}}  (redirect -> brahmadAya)
vrahmada       -> brahmada       | {{Lbody=35847}}  (redirect -> brahmada)
vrahmadaRqI    -> brahmadaRqI    | {{Lbody=35849}}  (redirect -> brahmadaRqI)
vrahmadaRqa    -> brahmadaRqa    | {{Lbody=35848}}  (redirect -> brahmadaRqa)
vrahmadarBA    -> brahmadarBA    | {{Lbody=35851}}  (redirect -> brahmadarBA)
vrahmadatta    -> brahmadatta    | {{Lbody=35850}}  (redirect -> brahmadatta)
vrahmadviz     -> brahmadviz     | {{Lbody=35854}}  (redirect -> brahmadviz)
vrahmagArgya   -> brahmagArgya   | {{Lbody=35824}}  (redirect -> brahmagArgya)
vrahmagItA     -> brahmagItA     | {{Lbody=35826}}  (redirect -> brahmagItA)
vrahmagarBa    -> brahmagarBa    | {{Lbody=35823}}  (redirect -> brahmagarBa)
vrahmagiri     -> brahmagiri     | {{Lbody=35825}}  (redirect -> brahmagiri)
vrahmagranTi   -> brahmagranTi   | {{Lbody=35827}}  (redirect -> brahmagranTi)
vrahmahan      -> brahmahan      | {{Lbody=35945}}  (redirect -> brahmahan)
vrahmahatyA    -> brahmahatyA    | {{Lbody=35943}}  (redirect -> brahmahatyA)
vrahmahatyAsama -> brahmahatyAsama | {{Lbody=35944}}  (redirect -> brahmahatyAsama)
vrahmajAmala   -> brahmajAmala   | {{Lbody=35838}}  (redirect -> brahmajAmala)
vrahmajIvin    -> brahmajIvin    | {{Lbody=35840}}  (redirect -> brahmajIvin)
vrahmajYAna    -> brahmajYAna    | {{Lbody=35841}}  (redirect -> brahmajYAna)
vrahmajYa      -> brahmajYa      | {{Lbody=35836}}  (redirect -> brahmajYa)
vrahmaja       -> brahmaja       | {{Lbody=35835}}  (redirect -> brahmaja)
vrahmajawA     -> brahmajawA     | {{Lbody=35837}}  (redirect -> brahmajawA)
vrahmajijYAsA  -> brahmajijYAsA  | {{Lbody=35839}}  (redirect -> brahmajijYAsA)
vrahmakUrca    -> brahmakUrca    | {{Lbody=35819}}  (redirect -> brahmakUrca)
vrahmakUwa     -> brahmakUwa     | {{Lbody=35818}}  (redirect -> brahmakUwa)
