# PW -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 255 headwords that LOOK like misspellings but which PW records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS PW.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the PW entry text

# ===== WRONG-READING (95) =====
samAvApti      -> samavApti      | {#samAvApti#} (metrisch für {#samavApti#}) f. {%Erlangung%} HEMĀDRI 1,407,4.
tAmraparRi     -> tAmraparRI     | {#tAmraparRi#} (metrisch) f. = {#tAmraparRa#} 2〉c〉β〉 VARĀH. BṚH. S. 81,1.
tarkAri        -> tarkArI        | {#tarkAri#} (metrisch) f. = {#tarkArI#} 1〉.
upAdAnaka      -> upadAnaka      | {#upAdAnaka#} am Ende eines adj. Comp. = {#upAdAna#} 10〉.

# ===== CROSS-REFERENCE (16) =====
SAkalin        -> Sakalin        | {{Lbody=111215}} || {#SAkalin#} s. u. {#SAkali#}.
banDU          -> banDu          | 1. {#banDU#} f. s. u. {#ba/nDu#}. || 2. {#banDU#} Adv. — 1〉 mit {#kar#} — a〉 {%zum Freunde machen%}. — b〉 {%zum Freunde von%} — (im Comp. vorangehend) {%machen,
bidura         -> vidura         | {#bidura#} n. s. u. {#Bidura#}.
duHka          -> duHKa          | {#duHka˚#} s. u. {#duzka˚#}.
kuraWa         -> kurawa         | *{#kuraWa#} m. {%Pferd%} GAL. Vgl. {#kuruwin#}.
medini         -> medinI         | {#medini#} s. u. {#medin#} 2〉h〉.
praR           -> prAR           | √{#praR#}, {#pfRa/ti#} s. u. 1. {#par#}.
pratAn         -> pratAm         | *{#pratAn#} Indecl. Vgl. *{#pratAm#}.
rAyana         -> rAyaRa         | {#rAyana#} s. u. {#rAyAna#}.
rOra           -> rora           | {#rOra#} m. s. u. 2. {#rora#}.
raTavAhaRa     -> raTavAhana     | {#raTavAhaRa#} s. u. {#˚vAhana#} 2〉.
saMBAva        -> saMBava        | {#saMBAva#} scheinbar R. 5,51,10 da hier {#rAjasaM BAvam#} zu trennen ist; vgl. Comm. zu R. ed. Bomb. 5,55,16.
saMDI          -> saMDi          | {#saMDI#} f. s. u. {#saMDi#} 2〉k〉.
somI           -> sOmI           | 1. *{#somI#} f. s. u. {#so/ma#}. || 2. {#somI#} Adv. mit {#kar#} {%in%} Soma {%verwandeln%} Comm. zu TS. 2,202,2.
sumatI         -> sumati         | 1. {#sumatI#} f. s. u. 2. {#sumati#} 3〉. || 2. {#sumatI#} Adv. mit {#kar#} {%gut walzen, — festschlagen%}.
vedaSrutI      -> vedaSruti      | {#vedaSrutI#} f. s. u. {#vedaSruti#} 2〉.

# ===== OTHER-INTENTIONAL (88) =====
ASirvAda       -> ASIrvAda       | {#ASirvAda#} (!) m. = {#ASIrvAda#} NIR. 7,1.
AgniveSI       -> AgniveSi       | {#AgniveSI#} s. {#AgniveSya#}.
AnusUka        -> AnuzUka        | {#AnusUka#} Adj. = {#AnuzUka#} KAUŚ. 16.
Azwakya        -> azwakya        | {#Azwakya#} n. = {#azwaka#} 3〉a〉 ĀPAST. 1,10,2. ({#azwAkya#} gedr.).
BetAla         -> vetAla         | {#BetAla#} m. = {#vetAla#} Ind. St. 15,228. 234. 236.
Cekala         -> CekAla         | *{#Cekala#} (GAL.), *{#CekAla#} und *{#Cekila#} Adj. = {#Ceka#} 1〉a〉.
Dikka          -> dikka          | *{#Dikka#} m. = {#dikka#} {%ein 20jähriger Elephant%} GAL.
Dvajahfta      -> DvajAhfta      | *{#Dvajahfta#} Adj. = {#DvajAhfta#}.
GozAdI         -> gozAdI         | {#GozAdI/#} f. {%ein best. Vogel%} MAITR. S. 3,14,5. {#gozAdI/#} VS.
Ola            -> ola            | *{#Ola#} m. = {#ola#} 2〉 NIGH. PR.
OpavasTa       -> Opavasta       | {#OpavasTa#} n. = {#Opavasta#}.
SASvat         -> SaSvat         | {#SASvat#} m. N. pr. eines Lexicographen. Richtig. {#SASvata#}.
SAntvay        -> sAntvay        | !√{#SAntvay#} schlechte Schreibart für {#sAntvay#}.
SAraRa         -> SaraRa         | {#SAraRa#} m. N. pr. ŚIŚ. 17,16. Richtig {#sAraRa#}.
SIradeva       -> sIradeva       | {#SIradeva#} m. s. {#sIradeva#}.
SIrzAhArya     -> SIrzahArya     | {#SIrzA/hArya#} Adj. = {#SIrzahArya^#} MAITR. S. 3,7,8 (86,16).
SUlIka         -> SUlika         | {#SUlIka#} m. Pl. = {#SUlika#} 2〉b〉 CARAKA. 6,30. (die Ausg. {#sUlIka#}).
Saravana       -> SaravaRa       | {#Saravana#} n. schlechte Schreibart für {#SaravaRa#}.
aBijYeya       -> avijYeya       | {#aBijYeya#} in {#anBijYeya#}.
anUbanDa       -> anubanDa       | {#anUbanDa#} m. = {#anu˚#} {%Fortdauer, Ununterbrochenheit%} Ind. St. 10,418.
antarAgni      -> antaragni      | {#antarAgni#} m. 1. {#antaragni#} GARBHOP. 2.
avarikA        -> avArikA        | *{#avarikA#} f. = {#avArikA#}.
badDAppi       -> badDappi       | {#badDAppi#} (!) m. = {#badDappi#}.
banDur         -> vanDur         | {#banDu/r#} AV. 3,9,3 vermuthlich falsch.
binda          -> vinda          | {#binda#} in {#kusurubi/nda#}.
bopadeva       -> vopadeva       | {#bopadeva#} m. s. {#vopadeva#}.
caSAla         -> cazAla         | {#caSAla#} = {#cazAla#} 1〉.
carATa         -> caraTa         | {#carA/Ta#} n. = {#cara/Ta#} 2〉a〉 ṚV. 1,66,9.
dAsarUpya      -> dASarUpya      | *{#dAsarUpya#} s. {#dASarUpya#}.
daRqAyAma      -> daRqayAma      | *{#daRqAyAma#} m. = {#daRqayAma#}.
daSAdaSin      -> daSadaSin      | {#daSAdaSin#} Adj. = {#daSadaSin#}.
devayU         -> devayu         | {{Lbody=52447}} || {#devayU/#} s. {#devayu/#}.
duHzparSa      -> duHsparSa      | *{#duHzparSa#} m. = {#duHsparSa#} 2〉a〉.
ekapadika      -> Ekapadika      | {#ekapadika#} Adj. = 2. {#ekapada#} 1〉c〉 HEMĀDRI 1,651,12.
galu           -> galU           | *{#galu#} und *{#galU#} m. {%ein best. Edelstein,%} = {#candrakAnta#}.
guqodana       -> guqOdana       | {#guqodana#} n. = {#guqOdana#}.
hOmIya         -> homIya         | {#hOmIya#} Adj. = {#homIya#} SAṂSK. K. 18,b,7.
haRqa          -> haRqA          | {#haRqa#} in *{#kUlahaRqa#}.
helarAja       -> helArAja       | {#helarAja#} m. N. pr. eines Autors. {#˚rAjIya#} n. Titel seines Werkes BURNELL, T. Richtig {#helA˚#}.
jAmbavozWa     -> jAmbavOzWa     | {#jAmbavozWa#} und {#˚vOzWa#} n. {%Sonde, Senknadel%}.
jirvi          -> jIrvi          | {#ji/rvi#} Adj. = {#jivri#} 1〉 AV. 14,1,21 (Hdschrr.).
kAkani         -> kAkaRi         | *{#kAkani#} und *{#˚nI#} f. = {#kAkiRI#} 1〉.
kAraRin        -> karaRin        | *{#kAraRin#} m. = {#kAraRika#} 3〉.
kArpawin       -> karpawin       | {#kArpawin#} = {#karpawin#} GAL. = {#kArpawika#} 1〉 KATHĀS. 124,69.
kOwiryA        -> kOwIryA        | {#kOwiryA#} f. = {#kOwIryA#} HARIV. 2,120,16.
kUrcAla        -> kUrcala        | {#kUrcAla#} (Conj.) Adj. = {#kUrcala#}.
kiriwa         -> kirIwa         | {#kiriwa#} Adj. in {#a/ti˚#}.
kukula         -> kukUla         | {#kukula#} m. = {#kukUla#} 1〉b〉 CARAKA. 6,1.
kuruRWa        -> kuruRwa        | {#kuruRWa#} LALIT. 201,12 = {#kuruRwa#} 1〉.
