# MW -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 630 headwords that LOOK like misspellings but which MW records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS MW.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the MW entry text

# ===== WRONG-READING (45) =====
gantavE        -> gantave        | ga/ntavE/  See ib.
gla            -> glA            | gla  See √ glE. || gla  mfn. ifc. See su-gla.
grAmIna        -> grAmIRa        | grAmIna  for ˚mIRa, q.v.
grAmeyakA      -> grAmeyaka      | grAmeyakA  f. = ˚yA, Hcar. vii.
haRqa          -> haRqA          | haRqa  See kUla-haRqa.
hiRqi          -> hiRqI          | hiRqi  (prob.) f. = -rAtrO rakzA-cAra, L.
jANgalI        -> jANgali        | jANgalI  f. Mucuna pruritus, L. || for ˚gulI, q.v.
jirvi          -> jIrvi          | ji/rvi  See ji/vri.
kOzIdya        -> kOsIdya        | kOzIdya  See kOsIdya.
kUwaSAlmalI    -> kUwaSAlmali    | kUwa—SAlmalI  f. See -SAlmali.
kalindI        -> kAlindI        | kalindI  f. N. of the river Yamunā (= kAlindI, q.v.), R.
kftasApatnIkA  -> kftasApatnikA  | kfta—sApatnIkA  f. = -sapatnikA, L.
kfzRasarpA     -> kfzRasarpa     | kfzRa—sarpA  f. = -kApotI, Suśr.
kiriwa         -> kirIwa         | kiriwa  See a/ti-kir˚.
kiwaka         -> kIwaka         | kiwaka  n. See kiwika.
koNkaRA        -> koNkaRa        | koNkaRA  f. a Koṅkaṇa woman, W. || N. of the mother of ParaśuRāma, L. || koNkaRA  (f. of ˚Ra, q.v.)
kumAri         -> kumArI         | kumAri  (shortened for ˚rI, q.v.; cf. Pāṇ. vi, 3, 63).
